# board=.../docs/examples/enabtmr.bot.etch.tap
# tool size=0.007000
# pass=1
-0.43050, 0.28419,-0.43050, 0.28419
-0.43050, 0.28419,-0.44261, 0.25497
-0.44261, 0.25497,-0.44261, 0.25496
-0.44261, 0.25496,-0.46496, 0.23261
-0.46496, 0.23261,-0.46497, 0.23261
-0.46497, 0.23261,-0.49419, 0.22050
-0.49419, 0.22050,-0.49419, 0.22050
-0.49419, 0.22050,-0.50413, 0.22050
-0.50413, 0.22050,-0.50413, 0.22050
-0.50413, 0.22050,-0.51000, 0.22050
-0.51000, 0.22050,-0.51587, 0.22050
-0.51587, 0.22050,-1.04000, 0.22050
-1.04000, 0.22050,-1.04400, 0.22011
-1.04400, 0.22011,-1.05139, 0.21704
-1.05139, 0.21704,-1.05704, 0.21139
-1.05704, 0.21139,-1.06011, 0.20400
-1.06011, 0.20400,-1.06050, 0.20000
-1.06050, 0.20000,-1.06050, 0.19663
-1.06050, 0.19663,-1.06050, 0.19413
-1.06050, 0.19413,-1.06050, 0.14413
-1.06050, 0.14413,-1.06050, 0.14413
-1.06050, 0.14413,-1.06050, 0.13419
-1.06050, 0.13419,-1.06050, 0.13419
-1.06050, 0.13419,-1.07261, 0.10497
-1.07261, 0.10497,-1.07261, 0.10496
-1.07261, 0.10496,-1.09496, 0.08261
-1.09496, 0.08261,-1.09496, 0.08261
-1.09496, 0.08261,-1.09497, 0.08261
-1.09497, 0.08261,-1.12419, 0.07050
-1.12419, 0.07050,-1.12419, 0.07050
-1.12419, 0.07050,-1.13413, 0.07050
-1.13413, 0.07050,-1.13413, 0.07050
-1.13413, 0.07050,-1.13930, 0.07050
-1.13930, 0.07050,-1.14000, 0.07050
-1.14000, 0.07050,-1.14587, 0.07050
-1.14587, 0.07050,-1.59413, 0.07050
-1.59413, 0.07050,-1.60000, 0.07050
-1.60000, 0.07050,-1.60359, 0.07050
-1.60359, 0.07050,-1.60587, 0.07050
-1.60587, 0.07050,-1.60587, 0.07050
-1.60587, 0.07050,-1.61581, 0.07050
-1.61581, 0.07050,-1.61581, 0.07050
-1.61581, 0.07050,-1.64503, 0.08261
-1.64503, 0.08261,-1.64503, 0.08261
-1.64503, 0.08261,-1.66739, 0.10496
-1.66739, 0.10496,-1.66739, 0.10497
-1.66739, 0.10497,-1.67949, 0.13419
-1.67949, 0.13419,-1.67949, 0.13419
-1.67949, 0.13419,-1.67949, 0.14413
-1.67949, 0.14413,-1.67950, 0.14413
-1.67950, 0.14413,-1.67950, 0.15104
-1.67950, 0.15104,-1.67950, 0.15587
-1.67950, 0.15587,-1.67950, 0.86587
-1.67950, 0.86587,-1.67949, 0.86587
-1.67949, 0.86587,-1.67949, 0.87581
-1.67949, 0.87581,-1.67949, 0.87581
-1.67949, 0.87581,-1.66739, 0.90503
-1.66739, 0.90503,-1.66739, 0.90503
-1.66739, 0.90503,-1.64503, 0.92739
-1.64503, 0.92739,-1.64503, 0.92739
-1.64503, 0.92739,-1.61581, 0.93949
-1.61581, 0.93949,-1.61581, 0.93949
-1.61581, 0.93949,-1.60587, 0.93949
-1.60587, 0.93949,-1.60587, 0.93950
-1.60587, 0.93950,-1.60000, 0.93950
-1.60000, 0.93950,-1.59413, 0.93950
-1.59413, 0.93950,-1.33760, 0.93950
-1.33760, 0.93950,-1.33107, 0.94603
-1.33107, 0.94603,-1.31545, 0.95250
-1.31545, 0.95250,-1.18454, 0.95250
-1.18454, 0.95250,-1.16893, 0.94603
-1.16893, 0.94603,-1.15697, 0.93407
-1.15697, 0.93407,-1.15050, 0.91845
-1.15050, 0.91845,-1.15050, 0.90154
-1.15050, 0.90154,-1.15697, 0.88593
-1.15697, 0.88593,-1.16893, 0.87397
-1.16893, 0.87397,-1.18454, 0.86750
-1.18454, 0.86750,-1.31545, 0.86750
-1.31545, 0.86750,-1.33107, 0.87397
-1.33107, 0.87397,-1.33760, 0.88050
-1.33760, 0.88050,-1.59413, 0.88050
-1.59413, 0.88050,-1.60000, 0.88050
-1.60000, 0.88050,-1.60400, 0.88011
-1.60400, 0.88011,-1.61139, 0.87704
-1.61139, 0.87704,-1.61704, 0.87139
-1.61704, 0.87139,-1.62011, 0.86400
-1.62011, 0.86400,-1.62050, 0.86000
-1.62050, 0.86000,-1.62050, 0.15587
-1.62050, 0.15587,-1.62050, 0.15099
-1.62050, 0.15099,-1.62050, 0.15000
-1.62050, 0.15000,-1.62011, 0.14600
-1.62011, 0.14600,-1.61704, 0.13861
-1.61704, 0.13861,-1.61139, 0.13295
-1.61139, 0.13295,-1.60400, 0.12989
-1.60400, 0.12989,-1.60000, 0.12950
